sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
Please [lead] the discussion today.,"Selection,lead,Surface,Citation,lead,Lemma,en,Lexeme,VERB,lead,🧭,",Verb lead is kept separate from noun lead despite identical spelling.,,
Please [look] it up before replying.,"Selection,look,coverage=Partial,Surface,Citation,look up,Lemma,en,Lexeme,VERB,look up,🔎,phrasal=Yes",Discontinuous phrasal verb look ... up is approximated as a partial selection of the citation surface look up.,,
"Remember, the [early bird] catches the worm.","Selection,early bird,coverage=Partial,Surface,Citation,the early bird catches the worm,Lemma,en,Phraseme,Proverb,the early bird catches the worm,🐦,",Partial proverb selection tests whether the model recovers the full proverb from a salient fragment.,,
[Running] before breakfast clears my head.,"Selection,Running,Surface,Inflection,running,verbForm=Ger,Lemma,en,Lexeme,VERB,run,🏃,","Gerund running is a VERB inflection, not a noun, despite occupying a nominal clause position.",,
[See] you later at the station.,"Selection,See,coverage=Partial,Surface,Citation,see you later,Lemma,en,Phraseme,DiscourseFormula,see you later,👋,discourseFormulaRole=Farewell","Only See is selected, but the intended formula is see you later.",,
Send the [e-mail] before noon.,"Selection,e-mail,spelling=Variant,Surface,Citation,e-mail,Lemma,en,Lexeme,NOUN,email,✉️,","Hyphenated e-mail is a standard variant of email, not a typo.",,
She gave [up] after midnight.,"Selection,up,Surface,Citation,up,Lemma,en,Lexeme,PART,up,⬆️,","Particle up in a phrasal verb is modeled as PART, separate from adposition and adverb uses.",,
She performed [best] under pressure.,"Selection,best,Surface,Inflection,best,degree=Sup,Lemma,en,Lexeme,ADV,well,🎯,","Best is modeled as a superlative adverb here, not an adjective, because it modifies performed.",,
Tag the issue with [#] before the number.,"Selection,#,Surface,Citation,#,Lemma,en,Lexeme,SYM,number sign,#️⃣,","The symbol surface # points to a worded canonical lemma, number sign.",,
That answer was [un]believable.,"Selection,un,coverage=Partial|spelling=Variant,Surface,Citation,un-,Lemma,en,Morpheme,Prefix,un-,🚫,","The canonical prefix contains a hyphen, but the selected substring inside a word does not, so it is marked Variant and Partial.",,
[That] was unexpected.,"Selection,That,Surface,Citation,that,Lemma,en,Lexeme,PRON,that,👉,pronType=Dem",Standalone that is PRON; it shares its surface spelling with the DET and SCONJ examples.,,
The [bio]reactor failed overnight.,"Selection,bio,coverage=Partial,Surface,Citation,bio,Lemma,en,Morpheme,Root,bio,🧬,","Bio is modeled as a bound root in bioreactor, not as a free clipping of biography.",,
The [data] are still inconsistent.,"Selection,data,Surface,Inflection,data,number=Plur,Lemma,en,Lexeme,NOUN,datum,📊,","Data is treated as a plural inflection of datum, even though contemporary usage often treats data as mass or singular.",,
The estimate was thirty[ish] minutes.,"Selection,ish,coverage=Partial|spelling=Variant,Surface,Citation,-ish,Lemma,en,Morpheme,Suffix,-ish,~,","The suffix citation includes a leading hyphen, while the attested substring omits it.",,
The note was [written] in pencil.,"Selection,written,Surface,Inflection,written,verbForm=Part|voice=Pass,Lemma,en,Lexeme,VERB,write,✍️,",Voice=Pass is context-sensitive for English participles; it is included to test whether the model accepts contextual morphology.,,
The old laptop finally [kicked] the bucket.,"Selection,kicked,coverage=Partial,Surface,Citation,kick the bucket,Lemma,en,Phraseme,Idiom,kick the bucket,💀,","The literal verb is inflected in the sentence, but the idiom entry stays citation-form only.",,
The pipe contained traces of [lead].,"Selection,lead,Surface,Citation,lead,Lemma,en,Lexeme,NOUN,lead,⚙️,",Material lead is a noun lexeme; pronunciation is not represented in the current model.,,
The plane will [take] off at dawn.,"Selection,take,coverage=Partial,Surface,Citation,take off,Lemma,en,Lexeme,VERB,take off,🛫,phrasal=Yes","Only the verb component is selected, but the lemma and surface are the phrasal verb take off.",,
The report says [COVID-ish] twice.,"Selection,COVID-ish,Surface,Citation,covid-ish,Lemma,en,Lexeme,X,covid-ish,🧪,foreign=Yes",The hybrid nonce token is X with Foreign=Yes because it resists clean POS assignment in isolation.,,
The [saw] needs a new blade.,"Selection,saw,Surface,Citation,saw,Lemma,en,Lexeme,NOUN,saw,🪚,",Tool saw is a noun citation surface; the model can keep it distinct from the verb surface saw.,,
The sign advertised [acommodation] nearby.,"Selection,acommodation,orthography=Typo,Surface,Citation,accommodation,Lemma,en,Lexeme,NOUN,accommodation,🏨,",Acommodation is represented as Typo with normalized surface accommodation; no edit-distance metadata exists.,,
The [Smiths] invited everyone over.,"Selection,Smiths,Surface,Inflection,smiths,number=Plur,Lemma,en,Lexeme,PROPN,smith,👨‍👩‍👧‍👦,",Family-name plural is PROPN with inflectional number rather than a common noun.,,
The [twenty-first] attempt finally passed.,"Selection,twenty-first,Surface,Citation,twenty-first,Lemma,en,Lexeme,ADJ,twenty-first,🔢,numForm=Word|numType=Ord",The hyphenated ordinal modifying a noun is ADJ with ordinal number features.,,
The [wind] shifted before dawn.,"Selection,wind,Surface,Citation,wind,Lemma,en,Lexeme,NOUN,wind,💨,",Wind as weather is a noun citation surface sharing spelling with the verb wind.,,
These [scissors] are blunt.,"Selection,scissors,Surface,Inflection,scissors,number=Ptan,Lemma,en,Lexeme,NOUN,scissors,✂️,",Scissors uses Number=Ptan to stress plurale-tantum support.,,
[They] left their umbrella here.,"Selection,They,Surface,Inflection,they,case=Nom|number=Plur,Lemma,en,Lexeme,PRON,they,👥,person=3|pronType=Prs",They is marked plural because the current English PRON schema has number but no singular-they semantic flag.,,
This exam was a [walk] in the park.,"Selection,walk,coverage=Partial,Surface,Citation,walk in the park,Lemma,en,Phraseme,Idiom,walk in the park,😌,",,,
This is the [better] option.,"Selection,better,Surface,Inflection,better,degree=Cmp,Lemma,en,Lexeme,ADJ,good,👍,",Irregular comparative better is attached to the lemma good with Degree=Cmp.,,
Use [half] the flour first.,"Selection,half,Surface,Citation,half,Lemma,en,Lexeme,DET,half,½,numForm=Word|numType=Frac","Half before a noun phrase is DET with fractional number features, not NUM.",,
We [depend] on accurate labels.,"Selection,depend,coverage=Partial,Surface,Citation,depend on,Lemma,en,Lexeme,VERB,depend on,🔗,hasGovPrep=on",Depend on uses hasGovPrep rather than phrasal because on is governed by the verb.,,
[Whose] keys are these?,"Selection,Whose,Surface,Inflection,whose,case=Gen,Lemma,en,Lexeme,PRON,who,❔,poss=Yes|pronType=Int",Whose is attached to who with possessive and interrogative inherent features plus genitive surface case.,,
Yesterday I [read] the warning twice.,"Selection,read,Surface,Inflection,read,tense=Past|verbForm=Fin,Lemma,en,Lexeme,VERB,read,📖,",Past-tense read is orthographically identical to the citation form; the distinction lives only in surfaceKind and inflectionalFeatures.,,
