sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
The [data] are still inconsistent.,"Selection,sentence_2p887y04TSv6S_9LiM,2","Data is treated as a plural inflection of datum, even though contemporary usage often treats data as mass or singular.",,
The estimate was thirty[ish] minutes.,"Selection,sentence_x5bwKW9s1wvqgs5TcY,7","The suffix citation includes a leading hyphen, while the attested substring omits it.",,
The note was [written] in pencil.,"Selection,sentence_kmPFxSLXVVuhqq7ctq,6",Voice=Pass is context-sensitive for English participles; it is included to test whether the model accepts contextual morphology.,,
The old laptop finally [kicked] the bucket.,"Selection,sentence_gTmrGuO-rLyVxL8Smw,8","The literal verb is inflected in the sentence, but the idiom entry stays citation-form only.",,
The pipe contained traces of [lead].,"Selection,sentence_TNCTjGC1T2eciPBAqI,10",Material lead is a noun lexeme; pronunciation is not represented in the current model.,,
The plane will [take] off at dawn.,"Selection,sentence_TnqEvCrJ2HKksBNVUX,6","Only the verb component is selected, but the Lemma and surface are the phrasal verb take off.",,
The report says [COVID-ish] twice.,"Selection,sentence_0GvQ8bmaPyYqWW0x2I,6",The hybrid nonce token is X with Foreign=Yes because it resists clean POS assignment in isolation.,,
The [saw] needs a new blade.,"Selection,sentence_a6bVhAD6v9qGLtxgDy,2",Tool saw is a noun citation surface; the model can keep it distinct from the verb surface saw.,,
The sign advertised [acommodation] nearby.,"Selection,sentence_tGjnsoT-1Gd_LqozH4,6",Acommodation is represented as Typo with normalized surface accommodation; no edit-distance metadata exists.,,
The [Smiths] invited everyone over.,"Selection,sentence_KPJsMtTPgqleLq4081,2",Family-name plural is PROPN with inflectional number rather than a common noun.,,
The [twenty-first] attempt finally passed.,"Selection,sentence_rdzpTeo3Lutu97P4Mz,2",The hyphenated ordinal modifying a noun is ADJ with ordinal number features.,,
The [wind] shifted before dawn.,"Selection,sentence_lae_rssI9T-1eYfcru,2",Wind as weather is a noun citation surface sharing spelling with the verb wind.,,
These [scissors] are blunt.,"Selection,sentence_kQD1L38oATY9CFuyu9,2",Scissors uses Number=Ptan to stress plurale-tantum support.,,
[They] left their umbrella here.,"Selection,sentence_5nxxGUJYrCo8c2MFEo,0",They is marked plural because the current English PRON schema has number but no singular-they semantic flag.,,
This exam was a [walk] in the park.,"Selection,sentence_bn6eNf8fxZ5IQBSAkI,8",,,
This is the [better] option.,"Selection,sentence_B_N6eSP96MEiFwYtKT,6",Irregular comparative better is attached to the Lemma good with Degree=Cmp.,,
Use [half] the flour first.,"Selection,sentence_ULFtf9AYp5MR1UoGLu,2","Half before a noun phrase is DET with fractional number features, not NUM.",,
We [depend] on accurate labels.,"Selection,sentence_XzH7eRJjNlh1q17rUs,2",Depend on uses hasGovPrep rather than phrasal because on is governed by the verb.,,
[Whose] keys are these?,"Selection,sentence_10r0wzYy5dykiepx3j,0",Whose is attached to who with possessive and interrogative inherent features plus genitive surface case.,,
Yesterday I [read] the warning twice.,"Selection,sentence_JUl1_FcA5xNeHg-eNn,4",Past-tense read is orthographically identical to the citation form; the distinction lives only in surfaceKind and inflectionalFeatures.,,
