sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
"הבטיחו דרמה, אבל [לא דובים ולא יער].","Selection,sentence_pHdw3Ar3yaTM9V7Eg9,7","לא דובים ולא יער is classified as an idiom; it is proverb-like, but used here as a fixed idiomatic denial.",,
[ה]בית פתוח.,"Selection,sentence_S48kV_rGl5eLndpB2F,0","The standalone article is modeled as DET with pronType Art, not as a noun definiteness feature.",,
"הדו""ח [נכתב] אתמול.","Selection,sentence_P198tDtpx_A4VeSVe0,4","נכתב is the NIFAL passive-like form, so it carries voice Pass.",,
הוא [התכתב] עם המרצה.,"Selection,sentence_FOMi8NVjJHE3qs2Bk4,2",התכתב is analyzed as HITPAEL with voice Mid to expose reflexive or reciprocal middle behavior.,,
הוא [כתב] מהר.,"Selection,sentence_LMbBZu3UiQBPFVZnNL,2","כתב is the verb inflection here, distinct from both the root morpheme and noun-like uses.",,
"הוא שירת ב[צה""ל].","Selection,sentence_5IDe6wmVYfPz_Rzb4s,5","צה""ל is an abbreviated proper noun with the quote mark retained and abbr Yes.",,
החדרים [גדולים].,"Selection,sentence_xZSjJ7NH1HYRctl_q6,2",גדולים is a masculine plural adjective inflection.,,
היא [כתבה] מכתב קצר.,"Selection,sentence_olb3yJOaEb0BF0XV0F,2",כתבה is the past feminine-singular verb from כתב despite the homographic noun article.,,
[הם] הגיעו בזמן.,"Selection,sentence_PcTNil2HfPNxL4YT2Y,0",הם is a third-person masculine plural pronoun.,,
הם נפגשו [ב]בית.,"Selection,sentence_J0qW90WE_HzrucMZBj,4",ב is treated as a prefix morpheme even though it corresponds semantically to a preposition.,,
הספר [של] נועה נשאר כאן.,"Selection,sentence_C6yDqgF-6HIlEsK2Du,2","של is the genitive relation marker here, modeled as ADP.",,
[הספרים] על השולחן.,"Selection,sentence_hx1b-nkRHmAWQZQMX4,0",This is a full selection of a definite plural noun surface.,,
הראיון היה על ה[פנים].,"Selection,sentence_Jkb6m19W5MSKboIxxm,7","פנים is a partial selection against the whole idiom על הפנים, not a noun attestation.",,
השאלות [הטובות] נשארו לסוף.,"Selection,sentence_UbfPrHSmH3iS1hOk4R,2",הטובות is a definite feminine plural adjective surface that preserves article agreement.,,
[ו]דנה כבר חיכתה בחוץ.,"Selection,sentence_BbUUz8-Cma7C7UlLSU,0",ו is modeled as a morpheme clitic rather than CCONJ to stress bound orthographic attachment.,,
זו טעות [גדולה].,"Selection,sentence_PaR8658doy91n1_r7Z,4",גדולה is a feminine singular adjective inflection.,,
חזרתי ל[בית].,"Selection,sentence_Dt7P81zWbu12j8Oru4,3",בית is a partial selection against a definite noun surface; the omitted article still drives definite Def.,,
[חס וחלילה] שנאחר שוב.,"Selection,sentence_kLkHCjxG97aBS-wP8S,0",חס וחלילה is treated as an idiom because the literal pieces are not the learner-facing meaning.,,
יצאתי [ל]עבודה מוקדם.,"Selection,sentence_1UKL3rSeg1YqwoRPFM,2","ל is treated as a prefix morpheme, not a full adposition lexeme, because it is selected inside an attached form.",,
[ירושלים] יפה בלילה.,"Selection,sentence_Is83G4_lpOBFkOza7v,0",ירושלים is a proper noun with feminine inherent gender and singular surface number.,,
[יש] קפה במטבח.,"Selection,sentence_kExxXHPdBSNe10DP0m,0","יש is modeled as an existential verb, not as an adverb or particle.",,
[מה נשמע] אצלכם?,"Selection,sentence_uRjgaWkeXqv2DgTUkb,0",The multiword greeting is modeled as one discourse-formula surface.,,
מחר [אוכל] מוקדם.,"Selection,sentence_GF8y3HwMn5LfHObFAH,2","אוכל is the future first-person verb from אכל, separated from the noun homograph.",,
מצאתי [מכתבים] ישנים.,"Selection,sentence_u_KCbNveYbLr7nx5wN,2","מכתבים is the plural noun from מכתב, not a verb-root attestation.",,
"[נו], תספר כבר.","Selection,sentence_I7y-Qal-YpjmYz92Xm,0",נו is kept as INTJ rather than a discourse formula because it functions as a prompting interjection.,,
נמשיך [כאשר] כולם יגיעו.,"Selection,sentence_iHgiJxJU9sYdCZ0QQL,2",כאשר is SCONJ with temporal case because the schema exposes that feature for Hebrew subordinators.,,
נשארנו בבית [בגלל] הגשם.,"Selection,sentence_00Nbuj_-Asv25VvyzU,4",בגלל is a causal adposition without an additional case feature in the current schema.,,
עברתי ל[תל אביב].,"Selection,sentence_ukFoVCDzYmTXw_tYrp,3",תל אביב is a multiword proper-noun citation with no additional inflectional surface features.,,
קניתי [שתי] מחברות.,"Selection,sentence_nFZ5yBE0seRxFzuipm,2",שתי is the construct or feminine form of שתיים and is intentionally awkward for feature-boundary testing.,,
ראיתי [את] הסרט.,"Selection,sentence_mvDswpBxQbI64wQt9d,2","את is the accusative marker here, modeled as ADP and kept separate from the pronoun homograph.",,
רחצתי [ידיים].,"Selection,sentence_UM8ORmKVVIOxRv0SSm,2",ידיים is a dual-number surface for a paired body part.,,
רק [את] יודעת.,"Selection,sentence_0d7c1t9EOW7SWkjgbW,2","את is the pronoun homograph here, modeled with feminine second-person features.",,
"[שלום], מה שלומך?","Selection,sentence__h_GBaqdLPo8Ye4EHa,0",שלום is treated as a discourse formula rather than as the noun peace because the sentence is a greeting.,,
[תודה] על העזרה.,"Selection,sentence_zITBcP65ZJJTtDPgQM,0",תודה is treated as a thanks formula rather than as a standalone noun.,,
[תפסת] מרובה לא תפסת.,"Selection,sentence_fto0ixIkB94Fv9lP-l,0","This is a partial selection against a proverb, not a verb attestation for תפסת.",,
