sentence_markdown,route_slug,members,realizationCoverage,classifierNotes,classificationMistakes,isVerified
ה[אוכל] כבר מוכן.,sha256-c4Cn-kietSxbHnLIyJUwYdWcsdyWIwmj0uYGstmX_eM,"[{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""האוכל"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""אוכל"",""surface"":""אוכל""}]},""component"":0},{""attested"":""אוכל"",""orthography"":""Fused"",""fusion"":{""spelling"":""האוכל"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""אוכל"",""surface"":""אוכל""}]},""component"":1}]",Full,"אוכל is the noun food here, separated from the future-verb homograph by lemma and POS. It owns the article ה, so the Surface records Def.",,
האיש [ה]נמצא בבית.,sha256-9VWSmk0MwUy98k3Jea3Q1_vfPv1Tl1qlaB-8m-66xDk,"[{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""הנמצא"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""נמצא"",""surface"":""נמצא""}]},""component"":0}]",Full,"ה introduces the relative participle נמצא, so it is the SCONJ that, not the article; the article ה of האיש belongs to the noun איש.",,
"הבטיחו דרמה, אבל [לא דובים ולא יער].",sha256-S2wrGZk1HKH4Ei-mlUrGbeIcDqNVMfC5f7WIO9ob-LI,"[{""attested"":""לא"",""orthography"":""Standard""},{""attested"":""דובים"",""orthography"":""Standard""},{""attested"":""ו"",""orthography"":""Fused"",""fusion"":{""spelling"":""ולא"",""components"":[{""span"":""ו"",""surface"":""ו""},{""span"":""לא"",""surface"":""לא""}]},""component"":0},{""attested"":""לא"",""orthography"":""Fused"",""fusion"":{""spelling"":""ולא"",""components"":[{""span"":""ו"",""surface"":""ו""},{""span"":""לא"",""surface"":""לא""}]},""component"":1},{""attested"":""יער"",""orthography"":""Standard""}]",Full,"לא דובים ולא יער is classified as an idiom; it is proverb-like, but used here as a fixed idiomatic denial.",,
[ה]בית פתוח.,sha256-WOZa8Hbja07BVyfHdM1Ckt9ifyVY3eYclFy4WG6sksY,"[{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""הבית"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""בית"",""surface"":""בית""}]},""component"":0},{""attested"":""בית"",""orthography"":""Fused"",""fusion"":{""spelling"":""הבית"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""בית"",""surface"":""בית""}]},""component"":1}]",Full,"The article ה is owned by its noun: clicking it opens בית (Def), whose members are the Fused pieces ה and בית. normalizedSurface is the noun's own letters.",,
"הדו""ח [נכתב] אתמול.",sha256-cKgyl6gqo9NWZUXH_gWE50qqt9KKK1VTDjKAfH5La9Y,"[{""attested"":""נכתב"",""orthography"":""Standard""}]",Full,"נכתב is the NIFAL passive-like form, so it carries voice Pass.",,
הוא [התכתב] עם המרצה.,sha256-wTTgSSxU5zp5JBHE-ej1gFMGQyEJkj1r8N8Rl3coVFk,"[{""attested"":""התכתב"",""orthography"":""Standard""}]",Full,התכתב is analyzed as HITPAEL with voice Mid to expose reflexive or reciprocal middle behavior.,,
הוא [כתב] מהר.,sha256-QKWal7l-H4tjiQ6AJUVfSLPfP0u8_iWKRZbf5_7Shr8,"[{""attested"":""כתב"",""orthography"":""Standard""}]",Full,"כתב is the verb inflection here, distinct from both the root morpheme and noun-like uses.",,
"הוא שירת ב[צה""ל].",sha256-_UJcDRHDTVpT46sCrTUTSlajg9BLnu6kF5_xdzN-98I,"[{""attested"":""צה\""ל"",""orthography"":""Fused"",""fusion"":{""spelling"":""בצה\""ל"",""components"":[{""span"":""ב"",""surface"":""ב""},{""span"":""צה\""ל"",""surface"":""צה\""ל""}]},""component"":1}]",Full,"צה""ל is an abbreviated proper noun with the quote mark retained and abbr Yes.",,
החדרים [גדולים].,sha256-xGRTwKiC6Q48Z-Wi19QVtxEU3D5LY2QwiMsUXryeI2k,"[{""attested"":""גדולים"",""orthography"":""Standard""}]",Full,גדולים is a masculine plural adjective inflection.,,
היא [כתבה] מכתב קצר.,sha256-Z1P4FeqJQUW9d36nH9uC6BKcdQsyN8f8u1PXyNk5Kjo,"[{""attested"":""כתבה"",""orthography"":""Standard""}]",Full,כתבה is the past feminine-singular verb from כתב despite the homographic noun article.,,
[הם] הגיעו בזמן.,sha256-N4j8Fje401lbQk83UCDwycopkY6gEU0YuYaBo1UMnwk,"[{""attested"":""הם"",""orthography"":""Standard""}]",Full,הם is a third-person masculine plural pronoun.,,
הם נפגשו [ב]בית.,sha256-Qms6apN4-JbFLPhnEuR8hUq1Kdf0LbFTYkO-z3rotN4,"[{""attested"":""ב"",""orthography"":""Fused"",""fusion"":{""spelling"":""בבית"",""components"":[{""span"":""ב"",""surface"":""ב""},{""span"":"""",""surface"":""ה""},{""span"":""בית"",""surface"":""בית""}]},""component"":0}]",Full,"ב is the ADP in, its own Lexeme and the Fused first piece of בבית (ba-bayit). The Fusion lists the hidden article ה between ב and בית; that component belongs to the noun בית.",,
הספר [של] נועה נשאר כאן.,sha256-n0-CxzDYhEMrazPzn4xMTJdZf-v9hEgTn0tmSFLfhqA,"[{""attested"":""של"",""orthography"":""Standard""}]",Full,"של is the genitive relation marker here, modeled as ADP.",,
[הספרים] על השולחן.,sha256-QyseYz_rQVtWLVyzePV_PH-ni0RecUMdGmQmhMEvozo,"[{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""הספרים"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""ספרים"",""surface"":""ספרים""}]},""component"":0},{""attested"":""ספרים"",""orthography"":""Fused"",""fusion"":{""spelling"":""הספרים"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""ספרים"",""surface"":""ספרים""}]},""component"":1}]",Full,"The definite plural noun owns its article: members are the Fused pieces ה and ספרים, and normalizedSurface is ספרים without the article.",,
הראיון היה על ה[פנים].,sha256-8mPDIJKUKCpPneuAX_WYIqgu7G7YUXAIvT_vQKG1Kpw,"[{""attested"":""על"",""orthography"":""Standard""},{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""הפנים"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""פנים"",""surface"":""פנים""}]},""component"":0},{""attested"":""פנים"",""orthography"":""Fused"",""fusion"":{""spelling"":""הפנים"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""פנים"",""surface"":""פנים""}]},""component"":1}]",Full,"The idiom על הפנים owns every piece of its occurrence, including ה and פנים, the Fused pieces of הפנים. The review span on פנים does not make it a noun Attestation.",,
השאלות [הטובות] נשארו לסוף.,sha256-qX5jC5_xFw697IxmddAKaQSTYHds7-s5rR-xGcLkOFA,"[{""attested"":""ה"",""orthography"":""Fused"",""fusion"":{""spelling"":""הטובות"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""טובות"",""surface"":""טובות""}]},""component"":0},{""attested"":""טובות"",""orthography"":""Fused"",""fusion"":{""spelling"":""הטובות"",""components"":[{""span"":""ה"",""surface"":""ה""},{""span"":""טובות"",""surface"":""טובות""}]},""component"":1}]",Full,הטובות is a definite feminine plural adjective agreeing with השאלות. The adjective owns its own article ה as a Fused member; normalizedSurface is טובות.,,
[ו]דנה כבר חיכתה בחוץ.,sha256-hasoEcjLyYnBoBrkPlf-2re2IEgLT7bmsgW6ecIXrhM,"[{""attested"":""ו"",""orthography"":""Fused"",""fusion"":{""spelling"":""ודנה"",""components"":[{""span"":""ו"",""surface"":""ו""},{""span"":""דנה"",""surface"":""דנה""}]},""component"":0}]",Full,"ו is the CCONJ and, its own Lexeme. It is written fused to דנה, so its member is the Fused first piece of ודנה.",,
זו טעות [גדולה].,sha256-xeLF23tpHTKhX_m-HkrhA8RXK7zMZpYgnTo4UsTWmeY,"[{""attested"":""גדולה"",""orthography"":""Standard""}]",Full,גדולה is a feminine singular adjective inflection.,,
חזרתי ל[בית].,sha256-VARP_hEiUt7ThhP3wFzKTmTOjudGzehp_2Cr5Rugg-4,"[{""attested"":""בית"",""orthography"":""Fused"",""fusion"":{""spelling"":""לבית"",""components"":[{""span"":""ל"",""surface"":""ל""},{""span"":"""",""surface"":""ה""},{""span"":""בית"",""surface"":""בית""}]},""component"":2}]",Partial,"לבית is la-bayit: ל, a hidden article ה with no letters of its own, and בית. The noun owns that hidden component, so it records Def and its coverage is Partial, pointing at component 1 of the Fusion.",,
[חס וחלילה] שנאחר שוב.,sha256-R8PMgb9QtueXnegwGzJ450Mq74ktAR3l1SxM0TspL0A,"[{""attested"":""חס"",""orthography"":""Standard""},{""attested"":""ו"",""orthography"":""Fused"",""fusion"":{""spelling"":""וחלילה"",""components"":[{""span"":""ו"",""surface"":""ו""},{""span"":""חלילה"",""surface"":""חלילה""}]},""component"":0},{""attested"":""חלילה"",""orthography"":""Fused"",""fusion"":{""spelling"":""וחלילה"",""components"":[{""span"":""ו"",""surface"":""ו""},{""span"":""חלילה"",""surface"":""חלילה""}]},""component"":1}]",Full,חס וחלילה is treated as an idiom because the literal pieces are not the learner-facing meaning.,,
יצאתי [ל]עבודה מוקדם.,sha256-00Cdn1nNYcyZ2smDTQExiYueZ_ERMtH8-JKclcGRpAI,"[{""attested"":""ל"",""orthography"":""Fused"",""fusion"":{""spelling"":""לעבודה"",""components"":[{""span"":""ל"",""surface"":""ל""},{""span"":"""",""surface"":""ה""},{""span"":""עבודה"",""surface"":""עבודה""}]},""component"":0}]",Full,"ל is the ADP to, its own Lexeme and the Fused first piece of לעבודה (la-avoda). The Fusion lists the hidden article ה, which belongs to the noun עבודה.",,
[ירושלים] יפה בלילה.,sha256-BRQVY6bdmeQAxThwB5CA5qf3gT7I3sHQj5huc2akIBI,"[{""attested"":""ירושלים"",""orthography"":""Standard""}]",Full,ירושלים is a proper noun with feminine inherent gender and singular surface number.,,
[יש] קפה במטבח.,sha256-fYM3NPSk0phVaoKWfKXAZHSgxLG31Ee5gUWG7x_v-T4,"[{""attested"":""יש"",""orthography"":""Standard""}]",Full,"יש is modeled as an existential verb, not as an adverb or particle.",,
[מה נשמע] אצלכם?,sha256-deA_-BfB59y-D4-mtX7Y1jDVRtnoxS7fYJCj0XlDskE,"[{""attested"":""מה"",""orthography"":""Standard""},{""attested"":""נשמע"",""orthography"":""Standard""}]",Full,The multiword greeting is modeled as one discourse-formula surface.,,
מחר [אוכל] מוקדם.,sha256-4h3X07ncmtC7NJql23l9MXsHw9bkcCG6vxaD8bMgCpw,"[{""attested"":""אוכל"",""orthography"":""Standard""}]",Full,"אוכל is the future first-person verb from אכל, separated from the noun homograph.",,
מצאתי [מכתבים] ישנים.,sha256-5-eAqsGb_IywdyRFmgDWE1R1Tu-EbcfyyalSfedt1og,"[{""attested"":""מכתבים"",""orthography"":""Standard""}]",Full,"מכתבים is the plural noun from מכתב, not a verb-root attestation.",,
"[נו], תספר כבר.",sha256-IQN3_V153Q1cA5wSG9VF4XP8AipiakoxiMZQlmODg1Y,"[{""attested"":""נו"",""orthography"":""Standard""}]",Full,נו is kept as INTJ rather than a discourse formula because it functions as a prompting interjection.,,
נמשיך [כאשר] כולם יגיעו.,sha256-oFMokD9c8D_wUQqkQS-TIVffVgoFp5WBRAXnl8IU2Z8,"[{""attested"":""כאשר"",""orthography"":""Standard""}]",Full,כאשר is SCONJ with temporal case because the schema exposes that feature for Hebrew subordinators.,,
נשארנו בבית [בגלל] הגשם.,sha256-T6a89auf7qcuNeoO3FCALT_3tMcX1fNba4CmrOoo4Xw,"[{""attested"":""בגלל"",""orthography"":""Standard""}]",Full,בגלל is a causal adposition without an additional case feature in the current schema.,,
עברתי ל[תל אביב].,sha256-6fExeq0bdBEKfH9OPQj3aCNrz3NJI0HQmCVPqd9k5sA,"[{""attested"":""תל"",""orthography"":""Fused"",""fusion"":{""spelling"":""לתל"",""components"":[{""span"":""ל"",""surface"":""ל""},{""span"":""תל"",""surface"":""תל""}]},""component"":1},{""attested"":""אביב"",""orthography"":""Standard""}]",Full,תל אביב is a multiword proper-noun citation with no additional inflectional surface features.,,
קניתי [שתי] מחברות.,sha256-Ml6o_gsY0p-K7cs60CBkFrvr7dZwSV0m0wppLfkrRgk,"[{""attested"":""שתי"",""orthography"":""Standard""}]",Full,שתי is the construct or feminine form of שתיים and is intentionally awkward for feature-boundary testing.,,
ראיתי [את] הסרט.,sha256-Q_wFMsemxE0N4Vlj25FN6ejKSngeJ7xdlYVboJupGNI,"[{""attested"":""את"",""orthography"":""Standard""}]",Full,"את is the accusative marker here, modeled as ADP and kept separate from the pronoun homograph.",,
רחצתי [ידיים].,sha256-rg0ddXUxs_oTa9eooX6vpYzFmAK57EcZ_bpMk5ihWg0,"[{""attested"":""ידיים"",""orthography"":""Standard""}]",Full,ידיים is a dual-number surface for a paired body part.,,
רק [את] יודעת.,sha256-o6C6JrSr1CJBPSABPXgkafuTnESHIJxbj_vgbe_m_x0,"[{""attested"":""את"",""orthography"":""Standard""}]",Full,"את is the pronoun homograph here, modeled with feminine second-person features.",,
"[שלום], מה שלומך?",sha256-h8WlcdjQF4gjD1UGS1oOIwYm05deAn1ncshE1y9t5-s,"[{""attested"":""שלום"",""orthography"":""Standard""}]",Full,שלום is treated as a discourse formula rather than as the noun peace because the sentence is a greeting.,,
[תודה] על העזרה.,sha256-Ie52rRS0reYeCDZfL_GSggjy2kZTEG7M8wIFBpOpXJI,"[{""attested"":""תודה"",""orthography"":""Standard""}]",Full,תודה is treated as a thanks formula rather than as a standalone noun.,,
[תפסת] מרובה לא תפסת.,sha256-1wMWvgg0xclll73-UCzM6jNgyp_Rowj3IbFT06Z3UDs,"[{""attested"":""תפסת"",""orthography"":""Standard""},{""attested"":""מרובה"",""orthography"":""Standard""},{""attested"":""לא"",""orthography"":""Standard""},{""attested"":""תפסת"",""orthography"":""Standard""}]",Full,The Full Attestation records every member of the proverb occurrence; the docs review span on תפסת does not make it a standalone verb Attestation.,,
