sentence_markdown,sectionId,classifierNotes,classificationMistakes,isVerified
[הם] הגיעו בזמן.,"Selection,הם,Surface,Inflection,הם,gender=Masc|number=Plur|person=3,Lemma,he,Lexeme,PRON,הם,👥,pronType=Prs",הם is a third-person masculine plural pronoun.,,
הם נפגשו [ב]בית.,"Selection,ב,Surface,Citation,ב,Lemma,he,Morpheme,Prefix,ב,📍,",ב is treated as a prefix morpheme even though it corresponds semantically to a preposition.,,
הספר [של] נועה נשאר כאן.,"Selection,של,Surface,Citation,של,Lemma,he,Lexeme,ADP,של,🔗,case=Gen","של is the genitive relation marker here, modeled as ADP.",,
[הספרים] על השולחן.,"Selection,הספרים,Surface,Inflection,הספרים,definite=Def|number=Plur,Lemma,he,Lexeme,NOUN,ספר,📚,gender=Masc",This is a full selection of a definite plural noun surface.,,
הראיון היה על ה[פנים].,"Selection,פנים,coverage=Partial,Surface,Citation,על הפנים,Lemma,he,Phraseme,Idiom,על הפנים,😖,","פנים is a partial selection against the whole idiom על הפנים, not a noun attestation.",,
השאלות [הטובות] נשארו לסוף.,"Selection,הטובות,Surface,Inflection,הטובות,definite=Def|gender=Fem|number=Plur,Lemma,he,Lexeme,ADJ,טוב,👍,",הטובות is a definite feminine plural adjective surface that preserves article agreement.,,
[ו]דנה כבר חיכתה בחוץ.,"Selection,ו,Surface,Citation,ו,Lemma,he,Morpheme,Clitic,ו,➕,",ו is modeled as a morpheme clitic rather than CCONJ to stress bound orthographic attachment.,,
זו טעות [גדולה].,"Selection,גדולה,Surface,Inflection,גדולה,gender=Fem|number=Sing,Lemma,he,Lexeme,ADJ,גדול,📏,",גדולה is a feminine singular adjective inflection.,,
חזרתי ל[בית].,"Selection,בית,coverage=Partial,Surface,Inflection,הבית,definite=Def,Lemma,he,Lexeme,NOUN,בית,🏠,gender=Masc",בית is a partial selection against a definite noun surface; the omitted article still drives definite Def.,,
[חס וחלילה] שנאחר שוב.,"Selection,חס וחלילה,Surface,Citation,חס וחלילה,Lemma,he,Phraseme,Idiom,חס וחלילה,🚫,",חס וחלילה is treated as an idiom because the literal pieces are not the learner-facing meaning.,,
יצאתי [ל]עבודה מוקדם.,"Selection,ל,Surface,Citation,ל,Lemma,he,Morpheme,Prefix,ל,➡️,","ל is treated as a prefix morpheme, not a full adposition lexeme, because it is selected inside an attached form.",,
[ירושלים] יפה בלילה.,"Selection,ירושלים,Surface,Inflection,ירושלים,number=Sing,Lemma,he,Lexeme,PROPN,ירושלים,🏙️,gender=Fem",ירושלים is a proper noun with feminine inherent gender and singular surface number.,,
[יש] קפה במטבח.,"Selection,יש,Surface,Citation,יש,Lemma,he,Lexeme,VERB,יש,✅,hebExistential=Yes","יש is modeled as an existential verb, not as an adverb or particle.",,
[מה נשמע] אצלכם?,"Selection,מה נשמע,Surface,Citation,מה נשמע,Lemma,he,Phraseme,DiscourseFormula,מה נשמע,💬,",The multiword greeting is modeled as one discourse-formula surface.,,
מחר [אוכל] מוקדם.,"Selection,אוכל,Surface,Inflection,אוכל,number=Sing|person=1|tense=Fut,Lemma,he,Lexeme,VERB,אכל,🍽️,hebBinyan=PAAL","אוכל is the future first-person verb from אכל, separated from the noun homograph.",,
מצאתי [מכתבים] ישנים.,"Selection,מכתבים,Surface,Inflection,מכתבים,number=Plur,Lemma,he,Lexeme,NOUN,מכתב,✉️,gender=Masc","מכתבים is the plural noun from מכתב, not a verb-root attestation.",,
"[נו], תספר כבר.","Selection,נו,Surface,Citation,נו,Lemma,he,Lexeme,INTJ,נו,🙄,",נו is kept as INTJ rather than a discourse formula because it functions as a prompting interjection.,,
נמשיך [כאשר] כולם יגיעו.,"Selection,כאשר,Surface,Citation,כאשר,Lemma,he,Lexeme,SCONJ,כאשר,⏱️,case=Tem",כאשר is SCONJ with temporal case because the schema exposes that feature for Hebrew subordinators.,,
נשארנו בבית [בגלל] הגשם.,"Selection,בגלל,Surface,Citation,בגלל,Lemma,he,Lexeme,ADP,בגלל,☔,",בגלל is a causal adposition without an additional case feature in the current schema.,,
עברתי ל[תל אביב].,"Selection,תל אביב,Surface,Citation,תל אביב,Lemma,he,Lexeme,PROPN,תל אביב,🌆,gender=Fem",תל אביב is a multiword proper-noun citation with no additional inflectional surface features.,,
קניתי [שתי] מחברות.,"Selection,שתי,Surface,Inflection,שתי,definite=Cons|gender=Fem|number=Dual,Lemma,he,Lexeme,NUM,שתיים,2️⃣,",שתי is the construct or feminine form of שתיים and is intentionally awkward for feature-boundary testing.,,
ראיתי [את] הסרט.,"Selection,את,Surface,Citation,את,Lemma,he,Lexeme,ADP,את,🎯,case=Acc","את is the accusative marker here, modeled as ADP and kept separate from the pronoun homograph.",,
רחצתי [ידיים].,"Selection,ידיים,Surface,Inflection,ידיים,number=Dual,Lemma,he,Lexeme,NOUN,יד,🤲,gender=Fem",ידיים is a dual-number surface for a paired body part.,,
רק [את] יודעת.,"Selection,את,Surface,Inflection,את,gender=Fem|number=Sing|person=2,Lemma,he,Lexeme,PRON,את,👉,pronType=Prs","את is the pronoun homograph here, modeled with feminine second-person features.",,
"[שלום], מה שלומך?","Selection,שלום,Surface,Citation,שלום,Lemma,he,Phraseme,DiscourseFormula,שלום,👋,",שלום is treated as a discourse formula rather than as the noun peace because the sentence is a greeting.,,
[תודה] על העזרה.,"Selection,תודה,Surface,Citation,תודה,Lemma,he,Phraseme,DiscourseFormula,תודה,🙏,",תודה is treated as a thanks formula rather than as a standalone noun.,,
[תפסת] מרובה לא תפסת.,"Selection,תפסת,coverage=Partial,Surface,Citation,תפסת מרובה לא תפסת,Lemma,he,Phraseme,Proverb,תפסת מרובה לא תפסת,⚖️,","This is a partial selection against a proverb, not a verb attestation for תפסת.",,
