sentence_markdown,route_slug,members,realizationCoverage,classifierNotes,classificationMistakes,isVerified
Das [muss] heute noch raus.,sha256-YUCPHEzibhQF1x1K2S02cOFunYgqH20_wjXN0NQpJEQ,"[{""attested"":""muss"",""orthography"":""Standard""}]",Full,"Muss is treated as a lexical modal VERB with verbType Mod here, because it is the clause's main predicate and there is no overt infinitive for it to auxiliary-mark.",Do not default finite müssen to AUX just because it is modal. In this attestation the earlier mistake was classifying muss as kind AUX even though the clause is elliptical and the selected word functions as the main predicate rather than as an auxiliary to an overt infinitive.,true
Das muss heute noch [raus].,sha256-haCtfEzxsp43Rq6pP_gX9we9WE4f41tZiYvyk6vtOLo,"[{""attested"":""raus"",""orthography"":""Standard""}]",Full,"Raus is treated as the directional adverb with canonical lemma heraus. I did not fold it into a separable-verb analysis here, because the clause is elliptical and there is no overt finite verb like geht or muss-embedded infinitive host for a particle split.",,true
Das [Rennen] hat Spaß gemacht.,sha256-tAjg-RjUuCkCK-oHRiUy8yiDOCfelv_XuyNtEsdc-18,"[{""attested"":""Rennen"",""orthography"":""Standard""}]",Full,"Rennen is treated here as a substantivized infinitive used as a neuter noun. Following the repo's nominalized-verb rule and the existing Meckern example, the learner-facing unit is NOUN rather than the verb rennen.",,true
Das rote [Band] lag auf dem Geschenk.,sha256-oHb8B8-vv5LKRIpYoC4eo3TiLettbAH7_loAA-6_L70,"[{""attested"":""Band"",""orthography"":""Standard""}]",Full,The ribbon or tape use resolves to the neuter Band Lemma; the feminine music-group and masculine book-volume uses resolve to different Lemmas through their Core Features.,,true
Das rote Band [lag] auf dem Geschenk.,sha256-rUHGsxoqOvzStsS7w3T42r8c_yKGgH7sL74kMnNtASc,"[{""attested"":""lag"",""orthography"":""Standard""}]",Full,"Lag is the past finite form of liegen in a stative location reading, not a causative legen form.",,true
Das rote Band lag [auf] dem Geschenk.,sha256-752UKJpUqnZewwVIdunw3Gf2sVVl_hxbHlKAH2pqUqM,"[{""attested"":""auf"",""orthography"":""Standard""}]",Full,"`auf` heads the ordinary locative prepositional phrase `auf dem Geschenk`, so it is a plain preposition, not part of the verb `liegen`. I left `governedCase` unset because `auf` is a two-way preposition and the schema stores that feature lexically rather than per attested token, even though this local phrase is dative.",,true
Das [Schloss] an der Tür klemmt.,sha256-VgPKS3NNicdxifR054g73hDbecgmwPzgWS9BOrmh0aw,"[{""attested"":""Schloss"",""orthography"":""Standard""}]",Full,The lock use and castle use share one grammatically identical Schloss Lemma; their learner semantic distinction belongs to Reading above Dumling.,,true
Das [Schloss] über dem Fluss wurde renoviert.,sha256--aAZ0i4FsoEuc0vHvR1jLXv7ujIY7oPiOT12JH_jBck,"[{""attested"":""Schloss"",""orthography"":""Standard""}]",Full,The castle use and lock use share one grammatically identical Schloss Lemma; their learner semantic distinction belongs to Reading above Dumling.,,true
Das [Un]- in Unkosten wirkt historisch irritierend.,sha256-tzfs-injY48o8Tkcdpj3sWEIn_O4q2XUlWnp4SFO-0U,"[{""attested"":""Un"",""orthography"":""Standard""}]",Full,"The bound prefix is represented with the canonical hyphenated lemma un-, while the selected spelling excludes the hyphen.",,true
Das [wäre] fast schief gewesen.,sha256-nH7naXQSjSEzf9aesnih0V7_DEZnQv0Z93JZYjTWOWc,"[{""attested"":""wäre"",""orthography"":""Standard""}]",Full,The Konjunktiv-II form is mapped to supported mood Sub plus past tense.,,true
Das wäre [fast] schief gewesen.,sha256-gDd8mhUW3r-4V962X3W6XNvLFcSFbGOsbQgCCHeTvAg,"[{""attested"":""fast"",""orthography"":""Standard""}]",Full,"Fast is the approximative adverb here, modifying the predication schief gewesen rather than functioning as an adjective or particle.",,true
Das wäre fast schief [gewesen].,sha256-z3XRSE7h_vCaN8NAJ0Q69vHDt6T46GPOGD8oiFO6gIc,"[{""attested"":""gewesen"",""orthography"":""Standard""}]",Full,Gewesen is treated as an AUX participle rather than a lexical verb.,,true
Das wäre schön [gewesen].,sha256-u4TzOtMB8HfWfGHvPY_zM6wOOixCtNA4ebi9JiDttt0,"[{""attested"":""gewesen"",""orthography"":""Standard""}]",Full,Gewesen is treated as an AUX participle rather than a lexical verb.,,true
"Der Autor, [dessen] Buch fehlt, wartet draußen.",sha256-P56vEpje6u48WyCcKBlPGMXw5WoR0r3U4wjw4k4c8T0,"[{""attested"":""dessen"",""orthography"":""Standard""}]",Full,Dessen is a genitive relative pronoun with masculine antecedent features from the sentence.,,true
Der Brief ist schon [geschrieben].,sha256-BmWnKF4L2N_JX2X9DrmJH9BizvxzZBL2aaXzodBeJeg,"[{""attested"":""geschrieben"",""orthography"":""Standard""}]",Full,"Geschrieben is a bare predicative Partizip-II form of schreiben. Under the current German verb rule, non-attributive participles of lexical verbs stay VERB rather than shifting to ADJ.",,true
Der dritte [Band] ist längst vergriffen.,sha256-jXuap5YPbtHY98NqNdaSmjrmgxTvGuHAXpvDGzGaxxc,"[{""attested"":""Band"",""orthography"":""Standard""}]",Full,"The book-volume use resolves to the masculine Band Lemma, distinct through its Core Features from the feminine and neuter Band Lemmas.",,true
Der Fährmann hat uns [übergesetzt].,sha256-bkWqM8LJ_Do4BT2P8rhNTyFjCjf9YGaxMsUZUIaQr3Y,"[{""attested"":""übergesetzt"",""orthography"":""Standard""}]",Full,"This is the ferry-across participle, with related spelling but a different verbal use.",,true
Der [geschriebene] Brief lag auf dem Tisch.,sha256-874ILgIMtF8dudUwQHQs39qlDsZeOzPBLpvJ1eHhOCU,"[{""attested"":""geschriebene"",""orthography"":""Standard""}]",Full,"Geschriebene is an attributive participial adjective modifying Brief with nominative masculine singular agreement. Under the current German rule, attributive participles classify as ADJ here rather than as VERB.",,true
Der hockte da im grünen Gras; dem [floß] der Kaffee auf die Nas.,sha256-tNWE_0T-0ZY2MNBps8EeInm-C9RoGebKt0DrqAxGUNE,"[{""attested"":""floß"",""orthography"":""Standard""}]",Full,"I read `floß` as the 3sg past finite of `fließen`: `dem floß der Kaffee auf die Nas` means the coffee ran onto his nose. I considered the noun `Floß` for a second because the isolated form is ambiguous, but the clause structure with dative experiencer `dem` and subject `der Kaffee` makes the verbal reading clearly better.",,true
Der hockte da im grünen Gras; dem floß der Kaffee [auf] die Nas.,sha256-ROKKCFOTGovwV3xIAdOy_pvZCMhWP9IOsDho6UcrcCo,"[{""attested"":""auf"",""orthography"":""Standard""}]",Full,"`auf` heads the directional phrase `auf die Nas`, so I treated it as an ordinary preposition, not as a verbal particle. I left `governedCase` unset even though this local phrase is accusative, because the Lemma `auf` is a two-way preposition and the Dumling schema stores that feature lexically rather than per attested token.",,true
Der [Kiefer] schmerzte nach der Operation.,sha256-gn9X8OFqkHzT5rE9z5uLtXbUn3bXt5RWbayCSonyE6o,"[{""attested"":""Kiefer"",""orthography"":""Standard""}]",Full,"The jaw use resolves to the masculine Kiefer Lemma, distinct through its Core Features from the feminine pine-tree Lemma.",,true
Der [lachende] Junge winkte uns zu.,sha256-4VkbkH4G6-xViVxds_5xFaowIzJWv8IzVR5JaIzUZjA,"[{""attested"":""lachende"",""orthography"":""Standard""}]",Full,"Lachende is an attributive participial adjective modifying Junge with nominative masculine singular agreement. Under the repo's German participle rule, noun-modifying P1 forms like this classify as ADJ rather than VERB.",,true
Der Laster [fuhr] das Schild um.,sha256-sH-ibS9cni2sTbpEWDIsItpsNodyHl73jpomqiYnI8E,"[{""attested"":""fuhr"",""orthography"":""Standard""},{""attested"":""um"",""orthography"":""Standard""}]",Full,This is discontinuous separable umfahren compressed into the full surface fuhr um; the selected spelling is only the finite verb token.,,true
Der [Leiter] der Werkstatt kam später.,sha256-etQuBhZnG-qyulZTIxH4UdZsccWm8XIxI-Y6SE1d4d4,"[{""attested"":""Leiter"",""orthography"":""Standard""}]",Full,"The person-role use resolves to the masculine Leiter Lemma, distinct through its Core Features from the feminine ladder Lemma.",,true
Der [reisende] Händler wartete draußen.,sha256-qZ7G95jF2V8v8YZpeE7dcZS8l5RyQPRCk0XSy0za9sI,"[{""attested"":""reisende"",""orthography"":""Standard""}]",Full,"Reisende is an attributive participial adjective modifying Haendler, with nominative masculine singular agreement. Because the head noun is overt, this is classified as ADJ rather than as the substantivized NOUN analysis used in Der Reisende wartete draussen.",,true
Der [Reisende] wartete draußen.,sha256-8fpvOIbHO21MjPPKMw4gWZ5jVg0m4d82PqCSUgEoRA8,"[{""attested"":""Reisende"",""orthography"":""Standard""}]",Full,"Reisende is treated here as a substantivized present participle, so the learner-facing unit is a noun rather than an adjective or verb. The selected form is already citation-shaped for this nominal reading, so it stays `Surface/Citation`.",,true
Der von allen [bewunderte] Lehrer ging in den Ruhestand.,sha256-GcGr3hBfic5BJIzAQda5N8M4vE4bA_NNlRlaXiPbywQ,"[{""attested"":""bewunderte"",""orthography"":""Standard""}]",Full,"Bewunderte is an attributive participial adjective modifying Lehrer with nominative masculine singular agreement. Despite its verbal origin, this noun-modifying participle follows the repo's German rule that attributive participles classify as ADJ rather than VERB.",,true
Die alte [Kiefer] steht am Hang.,sha256-Q_zhGdOD0fUeSaVCJrttgDcV0ePpMpMZqGM3JLhJP2o,"[{""attested"":""Kiefer"",""orthography"":""Standard""}]",Full,"The pine-tree use resolves to the feminine Kiefer Lemma, distinct through its Core Features from the masculine jaw Lemma.",,true
Die [Angestellten] streikten gestern.,sha256-Hm1Yuims-lL3Uh1n-RNA9mjmjHkwBOb1FvltaEDiGjU,"[{""attested"":""Angestellten"",""orthography"":""Standard""}]",Full,"Angestellten is a substantivized participial form used here as a plural noun. Under the German rule for nominalized verb forms, it classifies as NOUN rather than ADJ or VERB; subject position and verb agreement support nominative plural.",,true
Die auf ihn [abgestimmte] Lösung half sofort.,sha256-dDRXNwU7uzifpbHrKUfYtyEtFyw4IqAtuAJFZ8IZ6wU,"[{""attested"":""abgestimmte"",""orthography"":""Standard""}]",Full,"Abgestimmte is an attributive participial adjective modifying Loesung with nominative feminine singular agreement. The dependent phrase auf ihn stays part of the surrounding attestation context, but the highlighted noun-modifying participle still follows the repo's German rule that attributive participles classify as ADJ rather than VERB.",,true
Die Aufgabe bleibt [ungelöst].,sha256-Gdbhm1z4G-pGiAYrBIIPN_uOH9Hn0X9fpIXh3yU8xfA,"[{""attested"":""ungelöst"",""orthography"":""Standard""}]",Full,"Ungelöst is treated here as a bare predicative Partizip-II form of lösen. Even though bleibt ungelöst strongly suggests a state reading, the stricter German participle rule keeps non-attributive participles of lexical verbs under VERB rather than shifting them to ADJ.",,true
Die [Band] spielt heute im Kellerclub.,sha256-0YVA3fJKLeCnrY2w6TBIYKU6NzcSfa9Itfv12iBLsbc,"[{""attested"":""Band"",""orthography"":""Standard""}]",Full,"The music-group use resolves to the feminine Band Lemma, distinct through its Core Features from the masculine and neuter Band Lemmas.",,true
Die [eingezeichneten] Seen sind jetzt besser zu sehen.,sha256-5tuY2s4lNzqvtZWqeoZhd4gP_iAy92jX3oXUhrJW3mU,"[{""attested"":""eingezeichneten"",""orthography"":""Standard""}]",Full,"Eingezeichneten is annotated as an attributive adjective inflection here. Unlike bare predicative eingezeichnet, which this repo keeps under the verb einzeichnen, the noun-modifying participial form in die eingezeichneten Seen goes to ADJ.",,true
Die [gekochten] Kartoffeln standen schon bereit.,sha256-CguboeDDha7O_wcNVFHktcXTZlnCKZdiP8IXeHKO3Ls,"[{""attested"":""gekochten"",""orthography"":""Standard""}]",Full,"Gekochten is an attributive participial adjective modifying Kartoffeln. Because it is a noun-modifying agreement form, the current German rule stores it as ADJ rather than as a verbal participle.",,true
Die Kartoffeln sind bereits [gekocht].,sha256-foU7530pv2sVs4iPnrRgL42a8UDdP0AERo0zNJcVAiQ,"[{""attested"":""gekocht"",""orthography"":""Standard""}]",Full,"Gekocht is a bare predicative Partizip-II form of kochen. Even though the clause describes a resulting state, the current German participle rule keeps non-attributive participles of lexical verbs under VERB rather than shifting them to ADJ.",,true
Die [Leiter] wackelte auf dem nassen Boden.,sha256-ibmuAiX0xXbODy5nLHSUS07Rr3l_E3trJcWQsuSY3hU,"[{""attested"":""Leiter"",""orthography"":""Standard""}]",Full,"The ladder use resolves to the feminine Leiter Lemma, distinct through its Core Features from the masculine person-role Lemma.",,true
Die [linke] Hand zitterte.,sha256-mq8RZGM-FGkqFI8L7YISBSJtcMffa3UHAREGtFg3VK8,"[{""attested"":""linke"",""orthography"":""Standard""}]",Full,"This is ordinary adjective agreement, included to contrast the directional adjective with political and proper-noun readings.",,true
Die mit Bleistift [geschriebene] Notiz lag noch auf dem Tisch.,sha256-zPTzkMO3KtoevSPNTqhbpOtPCq6mUEDp92Bkg0dh7qk,"[{""attested"":""geschriebene"",""orthography"":""Standard""}]",Full,Geschriebene is an attributive participial adjective modifying Notiz with nominative feminine singular agreement. The surrounding mit Bleistift phrase adds manner/instrument information but does not change the highlight from the adjectival participle classification used here.,,true
Die [Mutter] passt nicht auf diese Schraube.,sha256-y2mDmltiQ99jSMGR8Pv9oQkuUqYqyE3ROpGyxtMWEvI,"[{""attested"":""Mutter"",""orthography"":""Standard""}]",Full,The hardware use and kinship use share the same feminine NOUN Lemma; their learner semantic distinction belongs to Reading above Dumling.,,true
[Die] Peitsche hat er mitgebracht und nimmt sie sorglich sehr in acht.,sha256-88VlTsdqcfZrq5fNBMum-zczIURCw45ewoaD2SlDnLk,"[{""attested"":""Die"",""orthography"":""Standard""}]",Full,"Sentence-initial Die is the capitalized article form of der, not a pronoun; the determiner surface stays nominative singular here without encoding feminine gender.",Do not mark ordinary sentence-initial capitalization as a spelling variant. `Die` is a Standard click on a Canonical Surface.,true
Die [Peitsche] hat er mitgebracht und nimmt sie sorglich sehr in acht.,sha256-bbEx478CsmllH_NN6Jm9ILIpZi2T4Ait7sV3H8ObSic,"[{""attested"":""Peitsche"",""orthography"":""Standard""}]",Full,,,true
Die Peitsche [hat] er mitgebracht und nimmt sie sorglich sehr in acht.,sha256-dFIp4KZsqyJJDNq-6ZxKWqCuI3TfOXjRzknEP_gJlP0,"[{""attested"":""hat"",""orthography"":""Standard""},{""attested"":""mitgebracht"",""orthography"":""Standard""}]",Full,The perfect-auxiliary click returns the same lexical mitbringen occurrence as the participle click; head morphology remains Participle and the Lemma remains mitbringen.,,true
Die Peitsche hat [er] mitgebracht und nimmt sie sorglich sehr in acht.,sha256-4rqrcLEqVose1NkpRltgIHJqycD2-k6NUtV3xLJs9cI,"[{""attested"":""er"",""orthography"":""Standard""}]",Full,,,true
Die Peitsche hat er [mitgebracht] und nimmt sie sorglich sehr in acht.,sha256-Rd1Hpzr1KnwBJvkLAgZ66To49GL0KyjLgUWub1Z_qKM,"[{""attested"":""hat"",""orthography"":""Standard""},{""attested"":""mitgebracht"",""orthography"":""Standard""}]",Full,Hat and mitgebracht are the two fixed members of this perfect occurrence; the participle supplies Surface morphology and the prefix remains a Lemma feature.,,true
Die Peitsche hat er mitgebracht [und] nimmt sie sorglich sehr in acht.,sha256-OZQaPqWkwtTM2YRb5QISKhU4YBI8_Q108TbvIsQcYIU,"[{""attested"":""und"",""orthography"":""Standard""}]",Full,,,true
Die Peitsche hat er mitgebracht und [nimmt] sie sorglich sehr in acht.,sha256-xrQdU3JjPaM4fuIbpyWoybVgFJ2ENdSc6cYVEAtcyq8,"[{""attested"":""nimmt"",""orthography"":""Standard""}]",Full,"The Full Attestation preserves the complete normalized Surface nimmt, which resolves to the fixed-expression Lemma in acht nehmen rather than a standalone nehmen inflection.",,true
Die Peitsche hat er mitgebracht und nimmt [sie] sorglich sehr in acht.,sha256-4-pFggMTgt_G6jS2o_oPesHisY85VSsc-lcowm0HT6M,"[{""attested"":""sie"",""orthography"":""Standard""}]",Full,"Sie is the accusative feminine singular object pronoun referring back to Peitsche, not nominative plural or polite Sie.",,true
Die Peitsche hat er mitgebracht und nimmt sie [sorglich] sehr in acht.,sha256-LlVwMx9FI1yfnOYOxOfPu7oWVdQhbzJQX3hU5m1DB3c,"[{""attested"":""sorglich"",""orthography"":""Standard""}]",Full,"Sorglich is a manner adverb here, even though the form can feel adjective-like in modern German because it is rare outside literary style.",,true
Die Peitsche hat er mitgebracht und nimmt sie sorglich [sehr] in acht.,sha256-lr5ClEHAoSQGMX6tWZgedfMhR0CDrfuASi-XPNmOKCI,"[{""attested"":""sehr"",""orthography"":""Standard""}]",Full,Sehr functions as an intensifying adverb here; dumling does not currently split German degree particles away from ADV.,,true
Die Peitsche hat er mitgebracht und nimmt sie sorglich sehr [in] acht.,sha256-pB3z808igTH9yLqh1RxnadYj9bqXJsdynn7Gp53caVM,"[{""attested"":""in"",""orthography"":""Standard""},{""attested"":""acht"",""orthography"":""Standard""}]",Full,"I treated in as part of the idiom in acht nehmen rather than as a free adposition, because the phrase is functioning as one fixed learner-facing unit here.",,true
Die Peitsche hat er mitgebracht und nimmt sie sorglich sehr in [acht].,sha256-5ceYKAf3J5u63C7yy8lfIWd43Pc3Eohui0EAu2NIevc,"[{""attested"":""in"",""orthography"":""Standard""},{""attested"":""acht"",""orthography"":""Standard""}]",Full,"Acht is not the numeral here. It is the internal noun-shaped component of the fixed idiom in acht nehmen, so the attestation points to the whole idiom.",,true
Die [schlafenden] Kinder wurden nicht geweckt.,sha256-cMx2N_AtJAtEYNa8V_o5MsIFRs1sb75wEgE4gL4HAkY,"[{""attested"":""schlafenden"",""orthography"":""Standard""}]",Full,"Schlafenden is an attributive participial adjective modifying Kinder, so this plural nominative agreement form is stored as ADJ rather than as the verb schlafen.",,true
Die schoß das Häschen ganz [entzwei]; da rief die Frau: »O wei! O wei!«,sha256-p5Z6GrPqp320uDjV2MhIqoVcbuKxV8gPVC1brFUX9G8,"[{""attested"":""entzwei"",""orthography"":""Standard""}]",Full,"I treated entzwei as a lexical adjective, following dictionary treatment, even though in this resultative use it feels adverb-like on the surface. Because there is no overt inflection here, the surface is stored as a citation-shaped ADJ rather than as an inflected form.",,true
Die schoß das Häschen ganz entzwei; da rief die Frau: »[O] wei! O wei!«,sha256-XoArBb3ZUv2XkUtSc3QJQ5kY2xUZFiRVMcq_lH4TTSg,"[{""attested"":""O"",""orthography"":""Standard""},{""attested"":""wei"",""orthography"":""Standard""}]",Full,"I linked the selected O to the whole exclamation o wei as a discourse formula, not to a standalone interjection token. That follows the dumling preference for preserving the meaning-bearing multiword formula when a learner highlights only one part of it.",,true
Die schoß das Häschen ganz entzwei; da rief die Frau: »O [wei]! O wei!«,sha256-R_0sjOQvYvTPTYDZz7-tI-9Mch-FMKUKGfpSW6nBfLI,"[{""attested"":""O"",""orthography"":""Standard""},{""attested"":""wei"",""orthography"":""Standard""}]",Full,The Full Attestation records both members O and wei of the reaction formula; the docs review span on wei does not make it an independent Lexeme.,,true
Die Tür ist [geschlossen].,sha256-bxW9gEwnfH_0jc5of8GMpMRp32yFBucTMNDsb0JlQDM,"[{""attested"":""geschlossen"",""orthography"":""Standard""}]",Full,"Geschlossen is treated here as a bare predicative Partizip-II form of schließen. Under the stricter German participle rule, non-attributive participles of lexical verbs stay VERB even when the clause describes a resulting state.",,true
"Die Zeugin, [deren] Aussage zählt, bleibt anonym.",sha256-D4WMIZAWBfVjOAT1VG9PH1gZo-nEDTpqJaskpjFSgZY,"[{""attested"":""deren"",""orthography"":""Standard""}]",Full,Deren is the feminine genitive singular counterpart to dessen in this context.,,true
Ein [interessierter] Leser fragte nach.,sha256-4_s_ZUc_2zNNJoEy8m-7HcWOjj4fVGenyHjutpjtRoA,"[{""attested"":""interessierter"",""orthography"":""Standard""}]",Full,"Interessierter is an attributive adjective inflection modifying Leser, with nominative masculine singular agreement. Because the head noun is overt, this is neither a substantivized NOUN analysis nor a verbal-participle Lemma.",,true
Ein [Verletzter] lag am Straßenrand.,sha256-ffkwpUNAMEHATuTBVRBAIs_AH07tCOnJpYHyvuipHDE,"[{""attested"":""Verletzter"",""orthography"":""Standard""}]",Full,"Verletzter is a substantivized participial form used as a noun here. The highlighted form is already citation-shaped for this nominal reading, so it stays `Surface/Citation` and is classified as `NOUN` rather than `ADJ` or `VERB`.",,true
[Einst] ging er an Ufers Rand mit der Mappe in der Hand.,sha256-fzq57udQf8OqKcO8ZvwDm1wLqtIImDmNDfXxzE12NzU,"[{""attested"":""Einst"",""orthography"":""Standard""}]",Full,,,true
Einst [ging] er an Ufers Rand mit der Mappe in der Hand.,sha256-YuUlWpOTCw1dG3srPrf0nbnGSthX-Zf4TbB4C1HEY-8,"[{""attested"":""ging"",""orthography"":""Standard""}]",Full,,,true
Einst ging er [an] Ufers Rand mit der Mappe in der Hand.,sha256-n1QPTie_2xptnmoc413yN0BDgg5vTpnq_pzNgoyxPtc,"[{""attested"":""an"",""orthography"":""Standard""}]",Full,"`an` is the ordinary two-way preposition. I left `governedCase` unset because this schema only accepts one value there, while the lexeme alternates between accusative and dative and the local context is not decisive enough to hard-code one on the Lemma itself.",,true
Einst ging er an [Ufers] Rand mit der Mappe in der Hand.,sha256-WuzNTdT_bpx5Tgat04EFX2Kt0a8bfrBNUBbdjcMRnsM,"[{""attested"":""Ufers"",""orthography"":""Standard""}]",Full,"`Ufers` is genitive singular of `Ufer`. In this poetic noun phrase, the genitive depends on `Rand` (`Ufers Rand`), not directly on the preposition `an`.",,true
Einst ging er an Ufers [Rand] mit der Mappe in der Hand.,sha256-qa4qMYeVYzcE_t4RwYdZfDLzVZaHQ6IJ0P_oq3726RQ,"[{""attested"":""Rand"",""orthography"":""Standard""}]",Full,"`Rand` stays citation-shaped here. The attested noun form itself does not overtly distinguish accusative from dative, and this poetic `an Ufers Rand` phrase can be read either as directional movement or as a locative bank-edge setting, so I avoided encoding a guessed case on the surface.",Do not force a citation-shaped noun into `Surface/Inflection` with guessed case features when the local syntax is genuinely ambiguous. The earlier mistake here was storing `Rand` as accusative singular even though the attested form is syncretic and the phrase also allows a locative reading.,true
Er ging [zum] Bahnhof.,sha256--sFTLyTMbkTrHBVXPQdvTBm4lW0HPHRh3EM9jrKIba0,"[{""attested"":""zum"",""orthography"":""Standard""}]",Full,"Zum is modeled as Construction/Fusion, with the fused form itself as the canonical lemma and citation surface.",,true
Er lief erst nach links und dann [hinaus].,sha256-nijpq4HRLBintrEmw86X6HAPqtyPsC8hmD0PnIyhCWc,"[{""attested"":""hinaus"",""orthography"":""Standard""}]",Full,Hinaus is a standalone directional adverb here. The sequence `nach links und dann hinaus` makes the path expression contrastive and compositional rather than forcing a separable-verb reading.,,true
Er [muss] heute arbeiten.,sha256-k_b6ijZtWCWwYdPbO1sYwIyStv0Au0ZRajxi-Qw-9Zs,"[{""attested"":""muss"",""orthography"":""Standard""}]",Full,Muss is AUX here because it combines with the overt infinitive arbeiten rather than standing alone as the clause's main predicate.,,true
Er saß [schweigend] am Fenster.,sha256-efdOCOyxoXx9MpRqXnC5BhueEkMfJSTnqdOQcy3rHlg,"[{""attested"":""schweigend"",""orthography"":""Standard""}]",Full,"Schweigend is the present participial form of schweigen used non-attributively. Under the repo's German rule for present participles, that keeps it under VERB rather than shifting it to ADJ or ADV.",,true
Er vergaß [seinen] Schlüssel im Büro.,sha256-qFp-G3I41pJiHMknJ1mmBKFDYUA8sMiatqsaLXenYnM,"[{""attested"":""seinen"",""orthography"":""Standard""}]",Full,"`Seinen` is the accusative masculine singular possessive determiner agreeing with Schlüssel. Here the subject `Er` makes the possessor reading specifically 3rd-person masculine singular, so the separate possessor features are justified.",Reading belongs to a later layer; Dumling records `seinen` as a possessive determiner Surface.,true
"Er versucht, [hinauszulaufen].",sha256-MP414l3rOWRbhq0WLjUTuBoKukjGqWj7jL7JCAYDYWk,"[{""attested"":""hinauszulaufen"",""orthography"":""Standard""}]",Full,"The infinitive spelling `hinauszulaufen` directly exposes the separable verb lemma `hinauslaufen`, so this is an unambiguous verbal inflection rather than a standalone directional adverb.",,true
